"","C42_1","C42B_1","LNCAP_1","MR49F_1","C42_2","C42B_2","LNCAP_2","MR49F_2","C42_3","C42B_3","LNCAP_3","MR49F_3"
"ENSG00000106686",0,1,0,1,11,0,30,4,4,0,0,0
"ENSG00000106688",1,85,37,11,36,0,13,72,5,15,6,5
"ENSG00000106689",0,1,0,0,12,0,19,9,1,1,0,0
"ENSG00000106692",12,190,147,330,1059,25,147,876,458,31,21,20
"ENSG00000106701",4,12,20,22,225,2,151,21,23,28,1,17
"ENSG00000106714",0,23,0,4,33,1,8,6,10,4,0,0
"ENSG00000106723",13,633,197,320,483,24,396,254,524,30,137,64
"ENSG00000106733",1,12,26,3,88,0,166,245,25,8,4,2
"ENSG00000106771",23,128,352,319,2445,58,3188,305,774,562,31,29
"ENSG00000106772",96,113,2129,1235,16477,34,25255,1518,1973,346,339,156
"ENSG00000106780",10,119,16,74,494,13,532,667,141,140,42,8
"ENSG00000106785",10,46,233,109,995,20,669,918,49,219,4,63
"ENSG00000106789",14,194,21,127,398,30,756,135,9,268,65,16
"ENSG00000106799",53,327,95,237,716,15,627,155,208,107,16,20
"ENSG00000106803",44,266,42,144,609,47,1392,159,25,118,6,19
"ENSG00000106804",0,11,0,1,30,0,4,1,0,0,0,0
"ENSG00000106852",4,2,0,0,43,9,3,0,24,27,0,0
"ENSG00000106853",9,18,81,14,446,4,212,42,33,41,7,3
"ENSG00000106868",0,23,0,0,10,0,1,1,6,22,0,0
"ENSG00000106948",0,14,13,10,123,1,86,8,21,8,0,0
"ENSG00000106976",0,15,17,1,70,1,80,9,25,6,10,1
"ENSG00000106992",2,92,7,36,123,3,112,60,15,56,8,2
"ENSG00000106993",10,77,47,171,339,16,658,7,123,26,16,7
"ENSG00000107014",0,6,26,0,8,1,50,0,0,3,0,0
"ENSG00000107018",0,5,35,0,4,0,182,0,0,0,2,0
"ENSG00000107020",9,10,84,58,421,3,104,625,23,39,17,25
"ENSG00000107021",7,68,226,23,232,14,155,446,93,5,5,35
"ENSG00000107036",8,83,179,163,545,24,831,531,101,28,6,15
"ENSG00000107077",1,13,65,33,145,6,199,52,52,38,10,5
"ENSG00000107099",0,1,0,5,21,0,10,9,0,0,0,0
"ENSG00000107104",1,1053,10,7,215,4,81,45,45,45,0,2
"ENSG00000107105",0,2,1,18,76,0,21,138,8,2,0,5
"ENSG00000107130",4,97,79,280,336,5,1145,1257,94,92,20,75
"ENSG00000107140",6,63,87,96,235,9,317,150,48,74,4,9
"ENSG00000107147",0,4,0,0,1,5,3,0,0,15,0,0
"ENSG00000107164",12,50,125,127,945,22,902,1305,26,27,7,18
"ENSG00000107165",0,3,1,0,14,0,4,7,5,4,0,0
"ENSG00000107175",18,177,44,115,352,5,33,591,107,182,15,3
"ENSG00000107185",44,332,906,595,883,25,1790,366,204,190,12,55
"ENSG00000107186",8,209,82,78,183,7,407,86,26,10,15,4
"ENSG00000107201",0,65,33,8,82,2,101,63,25,40,12,0
"ENSG00000107223",118,539,212,37,251,25,101,459,115,103,29,96
"ENSG00000107262",9,60,180,294,408,19,944,305,274,31,12,18
"ENSG00000107263",2,56,33,86,436,52,5,160,94,152,12,3
"ENSG00000107281",18,341,23,132,903,10,790,321,107,496,17,48
"ENSG00000107282",0,4,17,2,16,0,38,22,1,26,0,1
"ENSG00000107290",38,91,238,37,1162,16,1368,263,278,234,171,51
"ENSG00000107295",0,3,3,4,4,0,17,27,1,1,0,1
"ENSG00000107331",76,406,15,187,1987,100,1827,3003,421,211,34,20
"ENSG00000107338",0,4,8,4,46,2,7,30,23,2,1,0
"ENSG00000107341",3,188,207,26,689,46,1167,43,80,120,15,47
"ENSG00000107362",10,19,60,29,288,4,377,45,99,22,30,3
"ENSG00000107371",11,41,134,67,313,20,294,568,51,46,3,6
"ENSG00000107372",15,108,285,398,1649,23,555,415,578,206,90,18
"ENSG00000107404",8,62,43,86,373,10,715,794,207,90,25,6
"ENSG00000107438",11,54,36,22,234,3,309,248,33,37,15,3
"ENSG00000107443",0,0,0,0,0,0,22,0,0,0,0,0
"ENSG00000107518",0,6,1,7,6,0,4,6,1,5,0,3
"ENSG00000107521",10,95,115,65,290,15,57,151,47,21,7,12
"ENSG00000107537",45,241,101,25,1066,34,9,159,60,163,305,58
"ENSG00000107551",1,29,5,27,24,5,32,15,6,26,0,1
"ENSG00000107554",33,43,14,39,116,1,3,535,35,11,2,19
"ENSG00000107560",2,45,38,88,373,32,104,38,52,100,36,10
"ENSG00000107562",0,5,0,0,12,0,0,0,5,4,0,0
"ENSG00000107566",16,195,2,28,304,11,456,217,90,36,10,14
"ENSG00000107581",37,915,1102,221,6476,35,7367,2429,469,1713,61,265
"ENSG00000107611",0,12,0,0,18,0,7,2,4,2,0,0
"ENSG00000107614",3,55,66,7,172,4,197,217,11,49,2,12
"ENSG00000107625",2,17,61,27,493,7,1305,245,102,147,25,68
"ENSG00000107643",6,60,21,80,785,8,744,1330,33,123,176,41
"ENSG00000107651",14,81,303,87,1045,30,2663,404,66,609,4,58
"ENSG00000107669",17,451,74,56,543,4,901,233,26,132,77,21
"ENSG00000107672",27,119,109,35,275,11,867,26,348,11,13,33
"ENSG00000107679",5,395,10,137,584,6,161,240,23,66,14,24
"ENSG00000107719",0,1,1,6,0,0,1,38,0,0,0,0
"ENSG00000107731",1,87,5,7,23,2,17,9,4,41,0,1
"ENSG00000107742",0,5,0,2,16,0,41,14,9,3,0,0
"ENSG00000107745",139,28,239,67,767,8,1417,1047,245,321,59,30
"ENSG00000107758",4,36,40,135,472,22,817,69,122,175,21,8
"ENSG00000107771",5,100,57,16,89,22,343,5,56,11,13,11
"ENSG00000107779",6,150,50,94,261,8,398,438,66,9,2,3
"ENSG00000107789",36,139,50,15,538,14,195,65,35,64,5,2
"ENSG00000107796",0,2,7,1,1,0,3,5,4,2,0,0
"ENSG00000107798",24,212,261,257,1046,40,1360,112,422,340,118,8
"ENSG00000107815",3,41,77,92,225,20,598,71,79,54,14,4
"ENSG00000107816",3,72,145,73,85,22,379,293,84,99,7,3
"ENSG00000107819",6,66,121,9,399,3,716,8,124,157,22,3
"ENSG00000107821",6,28,24,3,103,5,18,28,16,5,3,1
"ENSG00000107829",30,94,36,50,295,5,15,77,131,11,18,3
"ENSG00000107833",4,53,184,17,281,22,910,656,123,76,4,24
"ENSG00000107854",52,278,530,165,2102,48,94,2668,235,85,92,28
"ENSG00000107862",31,142,383,183,1309,32,39,437,129,100,40,49
"ENSG00000107863",6,119,145,48,603,17,217,90,196,63,25,4
"ENSG00000107864",0,23,26,18,82,5,104,14,30,27,4,2
"ENSG00000107872",0,6,1,3,43,0,9,57,27,20,1,1
"ENSG00000107874",8,11,287,65,343,15,26,1165,58,85,74,17
"ENSG00000107882",6,325,46,26,315,11,43,323,46,18,19,10
"ENSG00000107890",4,22,5,30,467,31,547,153,117,27,4,28
"ENSG00000107897",11,53,187,36,617,25,1313,237,16,145,12,8
"ENSG00000107902",1,13,11,2,85,1,147,81,44,14,3,0
"ENSG00000107929",23,331,40,46,425,26,1945,2224,344,247,140,9
"ENSG00000107937",34,632,335,454,1538,63,3105,3377,617,258,41,61
"ENSG00000107938",12,59,51,237,575,15,793,33,173,125,28,14
"ENSG00000107949",13,173,284,83,1287,22,400,1573,130,507,61,43
"ENSG00000107951",8,135,33,51,476,23,213,127,189,111,69,9
"ENSG00000107954",0,2,0,2,7,0,6,3,0,0,0,0
"ENSG00000107957",1,50,11,39,71,14,42,276,11,4,0,2
"ENSG00000107959",112,346,244,230,1413,121,1249,49,184,64,185,56
"ENSG00000107960",2,50,93,99,171,2,314,80,57,43,3,6
"ENSG00000107968",1,41,54,12,176,5,187,27,66,68,4,0
"ENSG00000108001",2,4,3,4,34,0,1,1,15,8,1,1
"ENSG00000108010",24,64,149,150,184,26,66,710,16,115,59,14
"ENSG00000108021",37,454,401,36,2471,29,2975,306,782,359,105,23
"ENSG00000108039",17,700,208,267,311,29,1310,74,154,138,60,11
"ENSG00000108055",20,250,192,183,1631,19,1614,523,421,321,87,53
"ENSG00000108061",7,272,433,191,756,7,1289,415,188,146,109,94
"ENSG00000108064",15,166,504,176,1091,88,2675,1574,286,235,63,9
"ENSG00000108091",12,133,110,66,740,25,188,221,79,478,32,44
"ENSG00000108094",16,262,163,303,927,117,967,1303,246,330,9,12
"ENSG00000108100",7,198,233,86,442,8,779,1532,267,81,15,18
"ENSG00000108106",0,16,13,11,66,2,183,20,11,8,1,3
"ENSG00000108107",47,482,961,290,2111,239,3774,1588,521,770,17,59
"ENSG00000108175",208,246,138,329,1194,20,1617,418,230,285,600,24
"ENSG00000108176",3,7,24,50,108,1,220,28,37,9,5,3
"ENSG00000108179",37,127,47,261,2387,225,2845,133,233,229,155,223
"ENSG00000108187",1,83,14,24,133,4,142,174,61,77,3,4
"ENSG00000108219",13,1062,116,110,805,19,1510,992,316,146,26,32
"ENSG00000108239",4,15,44,11,218,7,27,203,10,17,8,2
"ENSG00000108256",23,1909,1080,615,2643,25,4102,2028,276,532,206,109
"ENSG00000108262",8,36,39,26,414,4,25,125,23,75,13,14
"ENSG00000108298",46,182,358,928,2187,19,279,1169,451,1362,184,197
"ENSG00000108306",3,75,61,85,263,20,250,29,10,34,3,4
"ENSG00000108309",0,6,1,6,3,0,1,7,2,4,0,2
"ENSG00000108312",27,384,171,92,1252,109,1672,1548,252,578,45,24
"ENSG00000108344",70,400,6021,1701,1713,67,2985,363,15,198,164,25
"ENSG00000108349",18,168,606,53,1263,13,2094,255,157,256,68,27
"ENSG00000108352",8,58,14,18,215,9,272,277,74,119,11,4
"ENSG00000108370",1,12,6,4,29,4,2,5,0,11,4,0
"ENSG00000108375",15,48,68,2,298,2,67,4,113,99,10,7
"ENSG00000108379",0,3,15,4,38,1,62,2,1,31,0,0
"ENSG00000108384",18,23,139,52,525,11,78,119,192,25,247,6
"ENSG00000108387",0,4,0,3,8,0,1,0,1,1,0,0
"ENSG00000108389",15,183,326,161,824,9,1666,272,274,30,14,9
"ENSG00000108395",9,240,129,84,572,28,701,84,238,87,72,29
"ENSG00000108406",7,12,1955,72,577,9,1436,233,122,47,10,38
"ENSG00000108423",2,40,31,81,151,2,278,92,75,62,6,10
"ENSG00000108424",61,1210,3724,462,2015,90,11383,1199,584,1084,309,555
"ENSG00000108433",10,73,57,14,308,4,310,508,20,11,7,11
"ENSG00000108439",11,166,148,200,911,121,1573,2119,45,916,9,98
"ENSG00000108443",7,223,200,544,1171,16,81,47,78,310,36,15
"ENSG00000108448",11,37,66,79,227,2,291,23,66,5,2,3
"ENSG00000108465",42,328,212,352,2531,37,1607,2165,763,322,27,217
"ENSG00000108468",106,315,351,176,357,58,1543,1478,395,441,41,48
"ENSG00000108469",5,454,21,68,344,17,505,38,13,60,18,9
"ENSG00000108474",24,9,61,50,282,7,459,23,70,176,18,8
"ENSG00000108479",1,56,15,13,44,9,1,13,11,32,1,1
"ENSG00000108506",4,41,135,65,849,66,16,881,272,290,31,8
"ENSG00000108509",13,83,92,23,457,15,15,447,194,292,78,17
"ENSG00000108510",12,731,31,142,1414,23,1753,41,24,94,26,32
"ENSG00000108511",0,16,19,1,27,2,12,1,4,2,0,0
"ENSG00000108515",6,99,90,25,221,15,337,569,53,7,15,1
"ENSG00000108518",51,446,577,142,1863,72,485,237,574,630,52,32
"ENSG00000108523",26,44,147,169,968,28,187,205,656,302,53,41
"ENSG00000108528",52,130,149,228,818,30,1380,514,196,295,89,31
"ENSG00000108557",6,115,103,229,187,24,976,87,231,8,85,159
"ENSG00000108559",28,188,446,29,1123,17,1592,403,305,96,39,25
"ENSG00000108561",29,659,56,777,2228,72,3807,2189,69,584,104,12
"ENSG00000108578",50,156,112,56,536,7,747,17,38,36,3,23
"ENSG00000108582",20,477,548,235,2493,33,3505,1545,1193,76,31,56
"ENSG00000108587",18,118,179,124,604,43,1530,373,235,175,19,12
"ENSG00000108588",124,691,647,496,4970,299,553,1474,1760,615,525,104
"ENSG00000108590",4,4,23,33,168,3,195,34,43,3,7,2
"ENSG00000108591",22,127,78,24,693,3,805,123,266,110,13,4
"ENSG00000108592",34,558,222,294,1229,16,1947,235,281,273,35,14
"ENSG00000108599",6,46,61,181,421,40,10,169,56,86,6,6
"ENSG00000108604",34,186,317,90,1997,124,2623,389,292,60,21,26
"ENSG00000108639",52,432,537,230,4172,40,3536,5041,471,256,78,54
"ENSG00000108641",1,23,39,27,41,9,18,225,2,34,6,9
"ENSG00000108651",10,150,72,311,1126,12,1222,157,113,305,32,28
"ENSG00000108654",120,921,3581,4673,12573,293,265,1839,3484,5732,2688,282
"ENSG00000108666",8,376,105,138,149,6,809,214,23,29,24,46
"ENSG00000108669",9,44,130,109,606,3,235,67,33,202,40,6
"ENSG00000108671",23,59,115,710,1799,30,1136,461,327,97,53,91
"ENSG00000108679",5,73,20,34,149,17,193,355,57,25,4,4
"ENSG00000108691",1,25,1,0,57,0,10,0,10,7,0,0
"ENSG00000108700",0,5,0,0,29,0,0,0,6,3,0,0
"ENSG00000108733",7,6,14,40,294,12,293,406,72,10,5,9
"ENSG00000108771",3,7,1,16,65,2,101,85,32,5,2,4
"ENSG00000108773",40,86,314,374,1445,41,2103,614,584,128,125,14
"ENSG00000108774",6,552,178,172,292,27,481,225,270,77,14,9
"ENSG00000108784",22,158,63,27,162,24,29,643,215,320,63,9
"ENSG00000108786",0,0,3,1,27,0,31,3,8,0,0,0
"ENSG00000108788",41,466,114,180,974,26,1486,1618,52,107,183,28
"ENSG00000108797",0,8,7,1,15,1,2,23,4,5,0,0
"ENSG00000108798",0,21,5,2,11,0,8,1,5,3,0,0
"ENSG00000108799",4,26,11,32,481,10,28,453,129,24,4,14
"ENSG00000108819",9,141,252,35,408,8,682,190,192,49,59,15
"ENSG00000108821",2,36,159,10,120,8,8,4,181,14,20,1
"ENSG00000108826",36,105,109,214,475,22,34,93,175,27,5,10
"ENSG00000108828",7,53,48,111,401,13,54,404,21,563,6,3
"ENSG00000108829",45,125,580,228,776,29,4212,595,73,476,283,50
"ENSG00000108840",1,54,20,25,113,12,176,62,9,59,3,4
"ENSG00000108848",27,373,613,371,2129,51,3455,3891,290,219,50,38
"ENSG00000108852",7,1053,141,48,367,7,770,76,142,163,54,22
"ENSG00000108854",2,67,80,101,348,2,111,74,38,43,6,7
"ENSG00000108861",13,117,178,124,834,15,30,461,214,258,28,18
"ENSG00000108883",24,287,44,142,1264,27,2137,2265,291,167,14,70
"ENSG00000108924",1,56,47,39,48,28,1,65,36,140,1,5
"ENSG00000108932",5,8,51,134,451,5,568,12,169,39,11,3
"ENSG00000108946",20,2642,154,181,1664,128,389,2343,46,448,108,92
"ENSG00000108947",0,24,2,0,22,6,52,0,5,51,1,0
"ENSG00000108953",55,942,732,1824,5928,198,11278,2140,1947,560,216,421
"ENSG00000108958",4,7,60,3,107,2,219,43,50,37,8,3
"ENSG00000108960",4,34,40,38,212,4,49,213,56,18,3,2
"ENSG00000108961",0,1,7,16,31,0,72,44,10,13,10,0
"ENSG00000108963",3,9,153,80,379,9,484,6,37,67,1,9
"ENSG00000108984",1,9,26,38,77,3,1,20,4,28,13,3
"ENSG00000109016",2,45,41,36,226,2,288,174,17,30,7,5
"ENSG00000109046",35,430,26,398,1516,19,191,1046,310,275,44,226
"ENSG00000109062",18,184,239,148,1186,16,839,430,26,205,30,17
"ENSG00000109063",0,4,10,0,12,0,14,3,7,5,1,0
"ENSG00000109065",5,155,146,89,577,5,793,618,55,8,5,7
"ENSG00000109066",19,11,34,11,93,9,12,322,6,112,10,2
"ENSG00000109079",9,117,54,28,331,16,341,547,118,82,4,10
"ENSG00000109083",20,165,31,24,232,13,67,24,16,24,1,15
"ENSG00000109084",33,171,89,185,1749,17,2744,30,871,551,322,56
"ENSG00000109089",3,41,86,78,225,10,363,55,2,127,3,3
"ENSG00000109099",0,44,0,0,22,14,0,4,6,25,0,0
"ENSG00000109103",6,133,44,45,428,25,329,557,146,15,17,4
"ENSG00000109107",16,171,159,137,357,56,1022,494,115,46,29,6
"ENSG00000109111",23,101,102,408,1726,69,3841,2265,149,198,56,55
"ENSG00000109118",17,245,572,233,837,34,294,2273,876,373,25,61
"ENSG00000109133",76,516,495,233,1854,31,6090,1070,488,468,56,401
"ENSG00000109171",17,902,190,39,888,4,1425,1321,349,132,3,31
"ENSG00000109180",57,4799,574,479,2155,33,3605,3287,47,160,44,35
"ENSG00000109181",0,0,2,0,0,0,61,0,0,0,0,0
"ENSG00000109182",0,0,0,4,1,0,3,13,0,0,0,0
"ENSG00000109184",4,199,259,54,673,25,944,368,256,64,36,66
"ENSG00000109189",10,441,242,468,625,24,823,1673,125,192,4,46
"ENSG00000109205",2,0,4,1,72,0,9,5,9,0,3,0
"ENSG00000109220",0,1,19,16,31,1,22,220,16,19,7,1
"ENSG00000109255",1,50,60,23,123,4,124,54,31,6,4,2
"ENSG00000109265",1,63,61,22,91,3,183,210,10,28,2,5
"ENSG00000109270",12,15,80,117,609,6,770,45,76,8,20,41
"ENSG00000109320",23,29,63,13,952,67,56,343,314,76,108,3
"ENSG00000109323",8,85,69,25,687,11,18,129,239,240,9,0
"ENSG00000109332",22,1257,2304,254,616,34,95,2916,128,47,77,33
"ENSG00000109339",0,36,1,0,7,5,4,2,1,6,0,0
"ENSG00000109381",15,229,81,51,833,6,118,126,198,26,19,18
"ENSG00000109390",3,48,97,79,267,9,32,104,73,53,15,45
"ENSG00000109436",10,63,214,445,533,6,10,230,190,47,23,12
"ENSG00000109445",6,54,67,16,220,4,13,7,142,45,14,13
"ENSG00000109452",0,1,57,7,233,0,31,204,15,2,1,4
"ENSG00000109458",0,2,1,2,48,1,4,77,3,14,3,1
"ENSG00000109466",3,27,72,39,183,0,7,176,66,6,10,13
"ENSG00000109472",108,87,36,6771,911,12,101,69,888,59,65,18
"ENSG00000109475",12,141,199,300,1095,14,40,392,169,133,29,18
"ENSG00000109501",9,145,96,92,278,14,132,74,74,189,10,14
"ENSG00000109519",14,185,55,376,1133,28,564,646,70,137,14,48
"ENSG00000109534",4,29,64,87,238,29,67,29,26,25,14,21
"ENSG00000109536",7,24,41,19,218,2,18,46,58,32,2,16
"ENSG00000109572",56,280,453,622,993,55,1585,231,1158,37,90,51
"ENSG00000109576",16,89,731,134,979,3,38,291,482,84,28,17
"ENSG00000109586",33,74,549,329,4436,14,958,289,1213,44,17,33
"ENSG00000109606",56,877,738,92,2627,57,204,4457,726,884,956,682
"ENSG00000109610",1,0,0,0,19,0,21,0,9,0,0,0
"ENSG00000109618",12,105,22,8,286,12,151,99,80,36,7,14
"ENSG00000109654",1,5,6,0,47,0,2,6,11,0,0,0
"ENSG00000109670",1,17,37,89,213,1,5,12,81,14,50,7
"ENSG00000109674",3,18,32,30,106,2,83,221,35,28,6,3
"ENSG00000109680",1,5,7,60,65,0,2,145,9,42,9,8
"ENSG00000109685",18,353,177,208,1761,30,1134,394,31,408,72,190
"ENSG00000109686",12,83,64,62,703,4,752,863,77,30,23,7
"ENSG00000109689",53,188,34,67,513,7,218,93,68,61,43,15
"ENSG00000109705",0,5,0,3,5,0,0,16,1,3,0,0
"ENSG00000109736",3,10,82,17,101,3,11,390,71,55,5,9
"ENSG00000109738",0,0,0,11,0,0,0,165,0,1,0,10
"ENSG00000109756",8,8,143,164,597,4,11,499,130,43,8,18
"ENSG00000109762",2,8,42,47,235,2,3,91,44,58,3,3
"ENSG00000109771",0,1,0,3,9,0,2,1,0,5,0,3
"ENSG00000109775",5,204,19,49,214,1,119,103,21,50,5,9
"ENSG00000109787",12,89,65,117,491,12,334,37,27,27,67,135
"ENSG00000109790",1,44,53,18,149,14,62,95,52,8,26,38
"ENSG00000109794",0,10,4,2,14,1,8,44,2,4,1,1
"ENSG00000109805",14,221,220,10,819,10,70,1073,141,137,53,147
"ENSG00000109814",8,83,406,494,772,3,83,1062,92,100,20,53
"ENSG00000109819",0,8,2,1,19,0,0,53,10,7,0,0
"ENSG00000109846",1,8,0,5,24,0,0,3,7,17,0,0
"ENSG00000109854",0,0,8,39,0,0,1,98,0,0,1,3
"ENSG00000109861",18,50,4,4,187,10,0,259,91,30,2,2
"ENSG00000109881",10,12,131,76,372,8,47,637,668,18,4,13
"ENSG00000109906",3,2,35,71,168,0,66,71,62,2,14,8
"ENSG00000109911",3,30,28,5,146,2,12,17,13,66,1,1
"ENSG00000109917",6,597,219,152,637,8,59,19,75,121,66,2
"ENSG00000109919",69,39,865,370,2666,146,5716,1061,122,260,157,151
"ENSG00000109920",27,235,317,610,1553,192,112,533,418,65,28,85
"ENSG00000109929",17,221,332,258,679,23,72,11,491,381,44,46
"ENSG00000109944",0,41,0,0,0,0,0,0,0,0,0,0
"ENSG00000109971",256,1863,372,3238,17613,502,10084,4445,5386,4753,722,654
"ENSG00000110002",0,43,5,1,36,0,1,9,1,18,0,0
"ENSG00000110011",4,23,17,104,124,3,23,265,17,121,7,0
"ENSG00000110013",32,163,75,31,1013,8,272,881,59,27,32,7
"ENSG00000110025",0,6,13,1,43,0,36,0,1,2,4,0
"ENSG00000110031",4,34,26,34,113,1,49,179,37,20,6,1
"ENSG00000110042",0,16,7,11,13,5,12,35,2,29,0,2
"ENSG00000110046",6,227,26,4,151,5,29,34,38,39,36,27
"ENSG00000110047",5,13,69,16,94,3,57,7,14,30,19,1
"ENSG00000110048",46,33,711,41,1805,55,88,86,677,231,261,23
"ENSG00000110057",11,7,27,63,118,7,39,142,2,3,2,0
"ENSG00000110060",7,363,27,59,315,16,63,491,30,6,10,15
"ENSG00000110063",6,307,48,15,120,2,113,103,24,40,6,6
"ENSG00000110066",82,46,277,184,963,98,36,314,139,90,10,33
"ENSG00000110074",35,53,184,273,901,10,18,1202,149,183,19,8
"ENSG00000110075",24,571,693,472,1542,45,180,550,357,593,398,35
"ENSG00000110076",0,0,0,0,0,0,0,2,0,4,0,0
"ENSG00000110080",31,3,18,120,290,7,5,164,70,29,12,3
"ENSG00000110090",427,555,565,470,3670,65,1452,2095,1217,714,329,118
"ENSG00000110092",67,302,465,129,2570,35,211,459,120,538,18,66
"ENSG00000110104",27,798,125,233,664,9,131,33,267,273,15,17
"ENSG00000110107",66,40,996,124,2423,62,132,3091,130,36,264,23
"ENSG00000110108",45,883,524,365,2025,13,263,1378,451,112,63,19
"ENSG00000110169",0,2,4,0,48,0,6,1,13,4,0,0
"ENSG00000110171",12,50,73,42,349,3,260,408,142,50,6,19
"ENSG00000110172",24,49,52,260,1490,16,125,61,364,214,56,25
"ENSG00000110200",17,4,27,36,404,2,7,28,52,8,9,9
"ENSG00000110218",4,64,453,35,504,9,153,47,34,10,9,19
"ENSG00000110237",2,36,87,36,120,4,289,350,69,104,3,32
"ENSG00000110274",18,219,95,26,631,16,40,208,41,148,3,7
"ENSG00000110315",40,135,337,32,803,34,49,1300,54,97,27,39
"ENSG00000110318",0,1,12,19,60,1,33,155,5,8,0,3
"ENSG00000110321",219,119,1464,3004,11081,131,2253,1128,939,1208,256,173
"ENSG00000110328",17,19,8,12,210,28,30,1,72,19,8,1
"ENSG00000110330",7,508,107,10,685,25,120,211,184,126,128,54
"ENSG00000110344",11,339,235,1107,1802,64,42,307,195,544,54,67
"ENSG00000110367",43,71,10759,145,881,17,134,201,1092,161,118,58
"ENSG00000110395",6,312,180,73,758,13,20,117,67,335,4,16
"ENSG00000110400",25,90,76,65,798,137,21,699,357,294,18,10
"ENSG00000110422",21,170,204,225,1790,25,166,1828,353,204,120,37
"ENSG00000110429",15,175,157,202,795,49,23,154,131,128,21,5
"ENSG00000110435",28,72,244,78,942,27,58,1822,307,71,116,53
"ENSG00000110436",1,0,0,0,26,0,2,0,4,0,0,0
"ENSG00000110442",27,125,129,10,324,9,41,601,60,59,21,9
"ENSG00000110492",57,87,92,4,342,14,27,9,330,304,12,0
"ENSG00000110497",7,66,51,38,228,25,49,390,41,51,12,3
"ENSG00000110514",22,120,129,62,1222,25,39,152,278,104,10,41
"ENSG00000110536",43,22,160,21,530,23,12,190,12,166,36,8
"ENSG00000110583",80,109,96,56,126,11,137,971,140,113,10,23
"ENSG00000110619",34,34,148,155,896,23,31,195,257,497,33,17
"ENSG00000110628",3,16,21,23,144,6,25,113,17,20,1,4
"ENSG00000110651",138,575,551,223,2576,98,80,136,2849,1244,71,809
"ENSG00000110660",41,106,136,87,309,24,33,2547,168,156,366,13
"ENSG00000110680",0,25,0,0,5,1,0,0,3,2,0,0
"ENSG00000110696",58,696,100,130,1538,42,120,128,211,75,480,59
"ENSG00000110697",4,58,9,0,137,6,47,3,61,98,3,0
"ENSG00000110700",51,134,209,337,1278,45,62,643,444,107,96,59
"ENSG00000110711",5,62,401,77,167,10,95,24,24,30,19,14
"ENSG00000110713",31,362,1493,142,1743,47,213,796,621,160,240,50
"ENSG00000110717",7,38,202,21,370,11,73,589,14,176,64,27
"ENSG00000110719",2,59,5,4,77,2,36,10,12,31,2,1
"ENSG00000110721",10,474,155,197,499,11,24,903,185,7,14,23
"ENSG00000110723",8,48,109,22,618,3,36,413,137,25,14,17
"ENSG00000110756",5,58,80,15,423,19,28,116,11,168,11,4
"ENSG00000110768",14,104,27,15,477,3,9,129,21,131,10,63
"ENSG00000110799",1,1,3,2,37,0,2,5,1,6,4,0
"ENSG00000110801",30,33,63,102,221,1,161,98,6,82,10,2
"ENSG00000110811",0,36,0,0,2,5,0,0,0,15,0,0
"ENSG00000110841",18,54,11,123,975,52,121,195,229,122,142,18
"ENSG00000110844",11,51,20,15,298,15,12,16,120,192,15,6
"ENSG00000110851",21,26,220,161,585,10,267,37,187,121,17,9
"ENSG00000110871",26,105,54,68,357,11,97,72,41,128,11,10
"ENSG00000110880",7,273,200,850,878,25,82,1041,165,77,36,23
"ENSG00000110881",10,63,27,19,135,14,49,81,34,7,8,7
"ENSG00000110888",8,22,35,52,734,102,19,455,31,447,14,9
"ENSG00000110906",10,159,121,192,348,64,59,862,48,91,18,21
"ENSG00000110911",35,169,150,61,701,163,120,218,216,406,213,152
"ENSG00000110917",298,1635,2395,831,7441,773,245,2665,3484,1134,261,190
"ENSG00000110921",8,53,105,156,394,2,307,67,65,84,5,19
"ENSG00000110925",9,167,125,111,294,148,35,105,163,55,8,3
"ENSG00000110931",39,187,6,358,867,46,70,974,46,242,29,16
"ENSG00000110944",0,2,0,1,9,0,3,21,1,4,0,0
"ENSG00000110955",183,10760,3352,5307,11776,558,2477,3605,954,5032,909,2541
"ENSG00000110958",105,691,1164,815,3530,41,124,858,363,152,267,151
"ENSG00000110987",6,16,105,57,281,6,92,459,14,35,8,2
"ENSG00000111011",18,63,312,316,843,12,231,68,310,66,50,40
"ENSG00000111012",2,8,2,3,39,0,1,5,10,11,0,0
"ENSG00000111052",10,2972,22,30,553,20,11,9,21,583,9,6
"ENSG00000111057",96,75,651,724,2189,32,975,2350,356,204,46,51
"ENSG00000111058",0,0,1,2,24,1,0,0,7,3,0,0
"ENSG00000111077",14,78,51,34,276,21,14,12,19,25,21,3
"ENSG00000111110",4,118,60,53,423,5,25,249,25,11,56,8
"ENSG00000111142",54,152,160,372,1434,56,30,2958,478,17,25,44
"ENSG00000111144",12,471,34,32,874,10,30,1424,121,242,15,132
"ENSG00000111145",19,16,35,15,169,1,32,6,53,34,2,5
"ENSG00000111181",0,3,0,0,16,0,0,0,6,2,0,0
"ENSG00000111196",11,56,35,32,400,2,23,389,117,79,13,17
"ENSG00000111203",35,42,32,6,207,4,6,468,4,59,8,10
"ENSG00000111206",67,368,29,25,1405,56,220,193,149,148,187,38
"ENSG00000111215",0,2,8,3,39,0,0,2,12,2,1,0
"ENSG00000111224",0,19,22,11,165,2,73,6,9,8,3,13
"ENSG00000111229",15,46,123,178,1135,23,78,819,122,30,9,40
"ENSG00000111231",8,83,112,68,453,7,33,27,155,19,4,61
